0,1,2,3,4,5
0.9275839523066134,0.05526696304386771,0.0,0.00011106442875246656,0.01703797306078164,4.715998457752496e-08
0.956581315075713,0.03567886551714587,0.0,8.983285432075374e-09,0.007739809751875633,6.719803221010779e-10
0.04276879255281216,0.3614008304279269,0.0,1.0354982126848294e-05,0.3743110558170772,0.22150896622005659
0.7705744892873427,0.10375738743935972,0.0,6.801701290383124e-05,0.12559826960298556,1.8366574079633965e-06
1.401917303934744e-13,1.6196101860749895e-14,0.0,0.63651617571173,0.0002498954060902168,0.36323392888202305
0.09788151023304609,0.0016683850399313348,0.0,6.593527189705375e-07,0.9004494388112575,6.563046607053308e-09
0.04544651701589827,9.450386562679078e-09,0.0,6.829970336386064e-05,0.9544851591933078,1.4637043496725567e-08
0.8424078468715374,0.04409951441782618,0.0,0.011339221076228676,0.10214966212815779,3.75550625011758e-06
6.273324714306515e-05,0.01940061091828668,0.0,0.026475065049306343,0.21522480113972453,0.7388367896455398
8.958727292646277e-05,2.2070688422815028e-05,0.9998868198252028,4.658176848766413e-16,1.522213405517338e-06,4.210595729677651e-14
0.7291246854116964,0.12159837020890665,2.3698151835785415e-20,0.13563195538624265,0.013644988030099873,9.630546874913141e-10
1.148850809962182e-08,6.5301248164656725e-09,0.0,9.914905579751502e-06,0.14632270863896407,0.8536673584368235
2.1817654474676252e-09,3.771120693875911e-09,0.0,9.392434544233385e-05,0.00038539782856636146,0.9995206718731049
7.936935280543705e-06,4.091570536379585e-05,0.9999484570055842,5.663883551304034e-26,2.6903358714349888e-06,1.7900049116177443e-11
0.12005951279465556,0.1174665483836428,0.0,0.0011896883881406784,0.7612842218096185,2.862394274732177e-08
0.3721642528962847,0.5298801012404264,0.0,2.208056251513311e-16,0.09795564572381339,1.3947555522294143e-10
0.0017570334979023477,0.7183905702500036,0.0,0.27733408703499196,0.0001367828022239854,0.002381526414877214
8.740064647381809e-07,0.9397693484892796,0.0,0.0002288677748569664,0.05900830195318462,0.0009926077762138544
3.8872680153000114e-05,1.8877349945287966e-06,0.9998453749394314,1.0420505441634173e-07,0.00011376041547894501,2.4887760310768238e-11
0.00020234532079280425,0.05802895880920626,0.0,0.8117339902387952,0.12057774239769803,0.009456963233507752
0.005871939743616235,0.41668037261017177,0.0,0.5629774958790322,0.014470191129322366,6.37857131746821e-10
6.113742286880529e-07,0.0042927328981964856,0.0,0.459442634321547,0.0027672044671662103,0.5334968169388615
0.00023185174143732797,3.9765488027583515e-07,0.9981735903622763,7.729743801356181e-14,0.0015941590851026586,1.1562262075537131e-09
0.00011591837039775408,7.788621427941237e-07,0.0,0.003555057047601356,0.003559531899073617,0.9927687138207842
0.012446145254987204,2.335870598157219e-05,0.987509407497655,2.1081924469749048e-05,6.6143077999096704e-09,2.5985913117251172e-12
3.48273033215136e-09,4.928225281188782e-05,0.0,0.026510650553111574,0.038403680747536084,0.9350363829638101
1.6025735577171923e-06,0.00037623226194382297,0.9995017214688596,1.7322032189391185e-05,0.0001031185717676181,3.0916818258165083e-09
7.354844670090364e-05,5.753937010556121e-05,0.9998057009988772,2.1508950864008187e-06,6.105915623146205e-05,1.1329985754249306e-09
0.001094151809185382,6.579310068958122e-06,0.9988983838689524,6.570104925170342e-14,8.850117275894821e-07,2.255267017028649e-16
0.9982109998001564,0.0016175173118667954,0.0,1.6240351108363e-13,0.00017148283873879517,4.9075587444618444e-11
5.2791315301140224e-09,5.23754199659612e-05,0.9953460586268894,0.0045908464931258795,1.0157243796744431e-05,5.569370904823302e-07
0.00013621491077355437,0.023217874137059516,0.0,0.005026725158818574,0.13638450449030629,0.8352346813030422
2.1167051037453513e-14,2.10408769887553e-06,0.0,0.9999978939699233,1.942354789740062e-09,9.820873202997307e-16
0.7935316325843174,0.16626624894401235,0.0,0.0010540554372817854,0.03912872162707336,1.9341407314952074e-05
0.021759962979452548,0.4736734451822327,0.0,0.13563767323782142,0.30789882037155913,0.0610300982289342
0.0019862569458713787,0.7473696375624486,0.0,0.00031328929252016365,0.0025562043940523687,0.24777461180510707
1.1755778770420817e-07,0.0011283271285041404,0.0,4.4964881156258075e-08,0.011383335477302102,0.987488174871525
